mutation	function	from	to	verdict	killing_checks	why_it_survives
field-count-exact	logged_seconds	if len(f) != 4 or f[0] == "mutant":	if len(f) < 4 or f[0] == "mutant":	killed	a 5-field row is refused, not truncated into a duration	
header-term	logged_seconds	if len(f) != 4 or f[0] == "mutant":	if len(f) != 4:	SURVIVED		redundant: a header row's verdict field is the literal "verdict", which no verdict tuple holds
verdict-term	logged_seconds	if f[1] not in TIMED_VERDICTS or ABORTED_DETAIL.match(f[3]):	if ABORTED_DETAIL.match(f[3]):	killed	an INVALID row is not a duration (the mutant did not compile)	
abort-term	logged_seconds	if f[1] not in TIMED_VERDICTS or ABORTED_DETAIL.match(f[3]):	if f[1] not in TIMED_VERDICTS:	killed	an aborted run is not a duration	
abort-match-to-search	logged_seconds	ABORTED_DETAIL.match(f[3])	ABORTED_DETAIL.search(f[3])	SURVIVED		no-op alone: `.search` on a ^-anchored pattern can only match at position 0
abort-regex-unanchored	ABORTED_DETAIL	r"^exit \d+, no FAIL line"	r"exit \d+, no FAIL line"	SURVIVED		no-op alone: `.match` anchors at position 0 whatever the pattern says
int-to-float	logged_seconds	secs = int(f[2])	secs = float(f[2])	killed	a fractional seconds field is refused, not rounded into a duration; nothing to run stops before the baseline, and still quotes the window; something to run proceeds, and budgets the high end	
positive-guard	logged_seconds	if secs > 0:	if secs >= 0:	killed	a zero-second row is not a duration, whatever its verdict	
timed-verdicts-widened	TIMED_VERDICTS	TIMED_VERDICTS = ("SURVIVED", "killed", "MISMATCH")	TIMED_VERDICTS = ("SURVIVED", "killed", "MISMATCH", "NOT-APPLIED")	SURVIVED		redundant: NOT-APPLIED rows carry seconds=0, which the `secs > 0` guard already excludes
est-ntodo-guard	estimate_minutes	if not seconds or n_todo <= 0:	if not seconds:	killed	nothing to run gets no estimate	
est-window-whole-log	estimate_minutes	sample = seconds[-ESTIMATE_SAMPLE:]	sample = seconds	killed	a cheap older era is outside the window, which is 5 rows wide; the window a caller can quote is the window the estimate used; something to run proceeds, and budgets the high end	
est-window-oldest	estimate_minutes	sample = seconds[-ESTIMATE_SAMPLE:]	sample = seconds[:ESTIMATE_SAMPLE]	killed	a cheap older era is outside the window, which is 5 rows wide; the window a caller can quote is the window the estimate used; something to run proceeds, and budgets the high end	
est-baseline-dropped	estimate_minutes	runs = n_todo + (1 if baseline else 0)	runs = n_todo	killed	the estimate is min..max over the newest five, baseline included; a cheap older era is outside the window, which is 5 rows wide; with one, it is two runs of 20; the window a caller can quote is the window the estimate used; something to run proceeds, and budgets the high end	
est-max-at-both-ends	estimate_minutes	return (runs * min(sample) / 60.0, runs * max(sample) / 60.0, len(sample))	return (runs * max(sample) / 60.0, runs * max(sample) / 60.0, len(sample))	killed	the estimate is min..max over the newest five, baseline included; the window a caller can quote is the window the estimate used; something to run proceeds, and budgets the high end	
win-whole-log	estimate_window	return seconds[-ESTIMATE_SAMPLE:] if seconds else []	return list(seconds) if seconds else []	killed	the window a caller can quote is the window the estimate used; nothing to run stops before the baseline, and still quotes the window; something to run proceeds, and budgets the high end	
win-oldest	estimate_window	return seconds[-ESTIMATE_SAMPLE:] if seconds else []	return seconds[:ESTIMATE_SAMPLE] if seconds else []	killed	the window a caller can quote is the window the estimate used; nothing to run stops before the baseline, and still quotes the window; something to run proceeds, and budgets the high end	
win-off-by-one	estimate_window	return seconds[-ESTIMATE_SAMPLE:] if seconds else []	return seconds[-ESTIMATE_SAMPLE - 1:] if seconds else []	killed	the window a caller can quote is the window the estimate used; nothing to run stops before the baseline, and still quotes the window; something to run proceeds, and budgets the high end	
startup-proceed-true	startup_line	f"{tail}", False)	f"{tail}", True)	killed	nothing to run stops before the baseline, and still quotes the window; an empty log with nothing to do stops without claiming an estimate; run() returns before anything that copies a tree or starts a suite	
startup-branch-order	startup_line	if n_todo <= 0: ⏎ # Minutes	est = estimate_minutes(n_todo, seconds) ⏎ if est is None: ⏎ return (f"{head} — no estimate: {nolog}", True) ⏎ if n_todo <= 0: ⏎ # Minutes	killed	nothing to run stops before the baseline, and still quotes the window; an empty log with nothing to do stops without claiming an estimate; run() returns before anything that copies a tree or starts a suite	
startup-window-to-log	startup_line	span = f"{min(window)}-{max(window)} s each" if window else ""	span = f"{min(seconds)}-{max(seconds)} s each" if window else ""	killed	nothing to run stops before the baseline, and still quotes the window; something to run proceeds, and budgets the high end	
already-done-lower-bound	already_done	if len(parts) == 4 and parts[0] != "mutant":	if len(parts) >= 2 and parts[0] != "mutant":	killed	a row with a stray tab does not mark its mutant recorded; a short row does not mark its mutant recorded	
already-done-header-term	already_done	if len(parts) == 4 and parts[0] != "mutant":	if len(parts) == 4:	killed	the header is not a mutant id, and an absent log records nothing	
run-ignores-proceed	run	if not proceed: ⏎ return 0	if False: ⏎ return 0	killed	run() returns before anything that copies a tree or starts a suite	
run-drops-print	run	print(text) ⏎		SURVIVED		not covered: the check drives run() for its RETURN and its tripwires, not its stdout — dropping the print loses a message and starts nothing
abort-pair-search-and-bare	ABORTED_DETAIL	r"^exit \d+, no FAIL line" ⟂ ABORTED_DETAIL.match(f[3])	r"exit \d+, no FAIL line" ⟂ ABORTED_DETAIL.search(f[3])	killed	a detail that mentions the abort shape without starting with it IS a duration	
free-branch-no-minutes	startup_line	({min(window) / 60.0:.0f}-{max(window) / 60.0:.0f} min each).	.	killed	nothing to run stops before the baseline, and still quotes the window	
