# C28 question 4 at the `textRegionMask` seam, DECOMPOSED BY LAYER — 2026-08-22.
#
# ⛔ **THE INSTRUMENT THAT PRODUCED THIS FILE IS NOT IN THIS REPOSITORY AND WILL NOT BE.** It is a
# stranded attempt at the same measurement `WIDEN-STENCIL-2026-08-22.tsv` publishes, from the same base
# commit (`6c154ca`) about two and a half hours earlier, and the seam it used was rejected on 2026-08-22
# — see C28's `#### The same price without the collar`. Both runs union the accepted line groups'
# **bounding rects** into `region`; the ONE difference is that the landed route hands `mrcLayers` a
# `SearchableWriter.BoundingBox` per group and therefore pays `Flattener.mrcBoxPadding`'s 25% collar,
# while this one wrote the same rects straight into the region through a
# `Flattener.textRegionWideningOverride` closure that is not on `main`. So this file prices the collar
# and nothing else. ⚠️ It is NOT an independent implementation: same tool, same `mrcLayers`,
# `textRegionMask`, `fillHoles`, JBIG2 and JPEG, same shape term — one step different.
# The seam's source survives outside the tree as
# `$STATE/rescue/REJECTED-not-on-main-vo-20260822-014509-85956.patch.bak`.
#
# Kept for four things the landed instrument's columns cannot say, none of them re-derivable from
# anything committed:
#   * the byte delta split into STENCIL / BACKGROUND / FOREGROUND rather than stencil-versus-the-rest;
#   * `MRCLayers.shrunkAsAllText` and `MRCLayers.backgroundWidth` read back from production, where the
#     landed run infers the all-text verdict from two strings — the free control its own review said it
#     left on the table;
#   * `MRCLayers.inkOutsideText` read back from production, against the landed run's recomputation of it;
#   * what the 25% collar costs, in published bytes and in admitted stencil ink.
#
# One row per page, 26 pages. `arm`: sub73 = one of the 16 sub-bar pages the shape term fires on
# (`SHAPETERM-73-2026-08-21.tsv`, lineN >= 1); pic = one of the 6 picture pages it fires on
# (`SHAPETERM-PICTURES-2026-08-21.tsv`); ctl73 / ctlpic = a page it does NOT fire on, where the widening
# adds nothing and the two publications must therefore be byte-identical. `label`/`kind` are carried
# from those two files. ⚠️ The arm names differ from `WIDEN-STENCIL`'s `subbar`/`picture`, which pool
# the controls into the two arms — compare on `document` + `page`, never on `arm`.
#
# ⚠️ `wAdd` is the rect's contribution OUTSIDE the shipped region, so it is not the accepted pixels:
# over the 22 firing rows it is **1.90x to 12.94x** `linePx`. That inflation is paid by BOTH routes and
# priced by neither — the collar sits on top of it.
#
# CONTROLS, all re-run 2026-08-22 against the committed files rather than taken on trust:
#   * `shipTot` equals `SHAPETERM-BYTES-2026-08-21.tsv`'s `layered` on **18 of the 18** shared rows,
#     from a different tool and a different code path.
#   * `shipSten` and `shipTot` are byte-identical to `WIDEN-STENCIL-2026-08-22.tsv`'s `shipSten` and
#     `shipBytes` on **all 24 rows the two files share**, so the seam is measurably inert in published
#     bytes on two binaries, one with it compiled into `Flattener` and one without.
#   * columns 3-32 (the shape-term columns, which no widening touches) are byte-identical to
#     `WIDEN-STENCIL-2026-08-22.tsv` on those same **24** rows. ⚠️ The two share 24, not the 26 each
#     carries: this file has `Guilford_Psychometric Methods` p1 and `Ford_1941_Speech_` p3, the landed
#     file has `1954 - Why` p6 and p10. An earlier note put the overlap at "the same 27 rows"; it is 26
#     data rows each and 24 shared.
#   * `shipSten + shipBG + shipFG == shipTot`, and the same widened, on 26 of 26 rows.
#   * all 4 control pages read `wAdd` 0, `dTot` exactly 0 and `factor` 1.0000 — four determinism
#     controls, free.
#
# ⚠️ NOT re-run, and carried over from the stranded header rather than checked: `wStenAdd` was
# reproduced by ImageMagick on two pages (`Difference` of the two dumped stencils: 4,436 on Wilcox p2,
# 2,365 on Jones p7). Those two numbers do match this file's `wStenAdd`, but the dumped PNGs are not
# committed and the tool that wrote them is the rejected one, so this bullet is the one claim above that
# cannot be re-derived. The review of the diff that committed this file found it inside the "all re-run"
# list.
#
# ⚠️ `shrunkAsAllText` does not flip anywhere in this file, and neither does `backgroundWidth`, so
# `region`'s SECOND reader (`pageIsAllText()`'s comparand) changes no verdict on this population.
# ⚠️ Bytes are at the default Photo detail. ⚠️ These are sampled pages: scale with
# `Tools/stratify-corpus.py`, never by multiplication.
document	arm	page	w	h	otsu	inkPx	outPx	inkOut	mapFrac	stenFrac	stenD3	glyphN	glyphH	glyphRun	ccN	txtN	txtPx	txtShare	lineN	linePx	lineShare	topLine	rim1N	rim1Px	rim1Top	rim2N	rim2Px	rim2Top	rim3N	rim3Px	rim3Top	wAdd	wStenAdd	shipSten	shipBG	shipFG	shipTot	wideSten	wideBG	wideFG	wideTot	dTot	factor	shipShrunk	wideShrunk	shipBgW	wideBgW	wideInkOut	verdict	label	kind
book/1954 - Why.pdf	pic	p4	1224	946	139	110844	5983	0.0540	0.0540	0.0757	0.0540	2468	9	2	42	12	444	0.0742	1	59	0.0099	27x17+1121+685	1	59	27x17+1121+685	1	59	27x17+1121+685	1	59	27x17+1121+685	459	128	19699	36220	12057	67976	19743	36199	12172	68114	138	1.0020	no	no	612	612	0.0529	ok	picture-arm-B	-
book/1954 - Why.pdf	ctlpic	p7	1224	946	139	107273	7080	0.0660	0.0660	0.0908	0.0654	2255	9	2	40	12	761	0.1075	0	0	0.0000	-	0	0	-	0	0	-	0	0	-	0	0	18880	35313	11219	65412	18880	35313	11219	65412	0	1.0000	no	no	612	612	0.0660	ok	picture-arm-B	-
book/Guilford_Psychometric Methods.pdf	ctl73	p1	920	1428	150	193959	601	0.0031	0.0031	0.0031	0.0000	2732	12	4	59	0	0	0.0000	0	0	0.0000	-	0	0	-	0	0	-	0	0	-	0	0	24873	2484	1817	29174	24873	2484	1817	29174	0	1.0000	yes	yes	115	115	0.0031	ok	nothing	-
book/Ibson_2006_Picturing men.pdf	pic	p61	2100	3000	162	2369312	2254516	0.9515	0.9515	0.9686	0.9631	393	18	4	1521	22	1411	0.0006	1	477	0.0002	74x29+1396+771	1	477	74x29+1396+771	1	477	74x29+1396+771	1	477	74x29+1396+771	2146	0	7468	141543	12229	161240	7468	141543	12229	161240	0	1.0000	no	no	1050	1050	0.9513	ok	picture-arm-A	-
book/Ibson_2006_Picturing men.pdf	pic	p122	1008	1440	172	361769	359906	0.9949	0.9949	0.9951	0.9947	68	9	2	4170	203	3836	0.0107	12	2032	0.0056	202x48+84+873	12	2032	202x48+84+873	12	2032	202x48+84+873	12	2032	202x48+84+873	26249	74	648	39437	2299	42384	710	39433	2725	42868	484	1.0114	no	no	504	504	0.9827	ok	picture-arm-A	-
book/Ibson_2006_Picturing men.pdf	ctlpic	p162	1008	1440	160	603931	602580	0.9978	0.9978	0.9978	0.9978	54	9	2	707	17	321	0.0005	0	0	0.0000	-	0	0	-	0	0	-	0	0	-	0	0	558	40525	2164	43247	558	40525	2164	43247	0	1.0000	no	no	504	504	0.9978	ok	picture-arm-A	-
book/Riesman - 1954 - Individualism reconsidered, and other essays.pdf	pic	p2	3872	5184	107	2529134	2389079	0.9446	0.9446	0.9562	0.9448	85	48	12	8789	59	21939	0.0092	2	10438	0.0044	444x154+366+3459	2	10438	444x154+366+3459	2	10438	444x154+366+3459	2	10438	444x154+366+3459	94818	0	4692	524751	30153	559596	4692	524751	30153	559596	0	1.0000	no	no	1936	1936	0.9313	ok	picture-arm-A	-
bookSection/Broadhead - 1994 - Regionalism and the Upper Class.pdf	sub73	p3	2278	1834	165	340166	15299	0.0450	0.0450	0.0809	0.0443	4261	13	3	230	119	8531	0.5576	2	7533	0.4924	779x50+1260+211	2	7533	779x50+1260+211	2	7533	779x50+1260+211	2	7532	779x49+1260+212	67497	8674	43329	10821	2076	56226	44524	10585	2106	57215	989	1.0176	yes	yes	284	284	0.0215	ok	loses	type
document/1881 - Harry Wilcox.pdf	pic	p2	3642	2449	121	272237	251186	0.9227	0.9227	0.9227	0.9203	288	5	3	1594	549	10078	0.0401	17	1694	0.0067	60x41+2771+1015	17	1692	60x41+2771+1015	17	1691	60x41+2771+1015	17	1690	60x41+2771+1015	21925	4436	4178	328399	14031	346608	5036	327824	15403	348263	1655	1.0048	no	no	1821	1821	0.9073	ok	picture-arm-A	-
document/1881 - Harry Wilcox.pdf	pic	p6	3807	2441	127	373358	364895	0.9773	0.9773	0.9773	0.9765	70	7	3	2082	582	10181	0.0279	11	1594	0.0044	78x33+1400+734	11	1594	78x33+1400+734	11	1594	78x33+1400+734	11	1594	78x33+1400+734	12979	3701	1523	330864	11859	344246	2167	330434	13017	345618	1372	1.0040	no	no	1903	1903	0.9705	ok	picture-arm-A	-
document/Atkinson_1939_Atkinson on firings_.pdf	sub73	p3	1935	2592	130	504651	19587	0.0388	0.0388	0.1231	0.0383	2582	20	4	50	27	8694	0.4439	3	8201	0.4187	337x54+1136+2083	3	8189	336x54+1137+2083	3	8175	336x54+1137+2083	3	8158	335x54+1138+2083	25137	6866	48362	11604	3840	63806	49030	11377	3873	64280	474	1.0074	yes	yes	241	241	0.0223	ok	loses	type+hand
