document	arm	page	w	h	otsu	inkPx	outPx	inkOut	mapFrac	stenFrac	stenD3	glyphN	glyphH	glyphRun	ccN	txtN	txtPx	txtShare	lineN	linePx	lineShare	topLine	rim1N	rim1Px	rim1Top	rim2N	rim2Px	rim2Top	rim3N	rim3Px	rim3Top	verdict
# C28 question 3b + the rim fix's own open question: the RIM SWEEP over the SAME ten picture pages
#   as SHAPETERM-PICTURES-2026-08-21.tsv, 2026-08-21. Result: the collar changes NOTHING here —
#   rim1N == rim2N == rim3N == lineN on 10 of 10 rows, the LARGEST accepted-line rect (topLine /
#   rim<r>Top -- one per page, by area) identical at every radius, and 4 accepted-line pixels of
#   16,294 removed page-wide by a 3-px collar (all four on
#   `1881 - Harry Wilcox` p2). So `lineN >= 1 AND rim1N >= 1` fires on the same 6 of 10 picture pages
#   the shipped r=0 rule does, and 3b's textRegionMask finding is untouched — measured, not assumed.
#   See BUGS.md C28 '#### The conjunction on a PICTURE page'.
# population = the same 11 rows, same five invocations, same page order as
#   SHAPETERM-PICTURES-2026-08-21.tsv: arm A is that file's systematic arm (INKBAR-2026-08-19.tsv
#   verdict=picture sorted by inkOut desc, top 8, 7 measured + 1 SKIP) and arm B is `1954 - Why`
#   p4/p6/p7, the three cartoons C26 was opened on.
# CONTROL: all 23 columns shared with SHAPETERM-PICTURES-2026-08-21.tsv (document, arm, page through
#   topLine) plus verdict are byte-identical to it on 11 of 11 rows, the SKIP row included. That file
#   was produced by a binary WITHOUT the rim sweep, so this is the additivity control across a real
#   code change rather than within one build.
# binary built from Tools/score-shape-term.swift as committed at a98fdd0 -- the SAME binary as
#   SHAPETERM-RIM-2026-08-21.tsv and NOT the one that produced SHAPETERM-PICTURES-2026-08-21.tsv,
#   which had no rim sweep in it at all; that is what makes the CONTROL above span a code change.
#   --self-test 6/6; the five
#   shape constants and rimRadii unchanged; rc=0 on all five invocations; verdict=ok on 10 of 10
#   measured rows (the identity mapFrac == inkOut held, exit 6 never fired).
# rim<r>N / rim<r>Px / rim<r>Top are the accepted-line count, pixel area and largest rect with an
#   r-px collar around every recognised word box removed before grouping.
report/Levy and Temin - 2007 - Inequality and Institutions in 20th Century Americ.pdf	A	p6	2362	3122	230	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SKIP no words — mrcLayers refuses this page too
book/1954 - Why.pdf	B	p4	1224	946	139	110844	5983	0.0540	0.0540	0.0757	0.0540	2468	9	2	42	12	444	0.0742	1	59	0.0099	27x17+1121+685	1	59	27x17+1121+685	1	59	27x17+1121+685	1	59	27x17+1121+685	ok
book/1954 - Why.pdf	B	p6	1224	946	140	98348	4851	0.0493	0.0493	0.0768	0.0493	2013	9	2	20	4	357	0.0736	0	0	0.0000	-	0	0	-	0	0	-	0	0	-	ok
book/1954 - Why.pdf	B	p7	1224	946	139	107273	7080	0.0660	0.0660	0.0908	0.0654	2255	9	2	40	12	761	0.1075	0	0	0.0000	-	0	0	-	0	0	-	0	0	-	ok
book/1954 - Why.pdf	A	p10	1224	1584	216	1390158	1353270	0.9735	0.9735	0.9946	0.9888	7	72	14	1	0	0	0.0000	0	0	0.0000	-	0	0	-	0	0	-	0	0	-	ok
document/1881 - Harry Wilcox.pdf	A	p2	3642	2449	121	272237	251186	0.9227	0.9227	0.9227	0.9203	288	5	3	1594	549	10078	0.0401	17	1694	0.0067	60x41+2771+1015	17	1692	60x41+2771+1015	17	1691	60x41+2771+1015	17	1690	60x41+2771+1015	ok
document/1881 - Harry Wilcox.pdf	A	p6	3807	2441	127	373358	364895	0.9773	0.9773	0.9773	0.9765	70	7	3	2082	582	10181	0.0279	11	1594	0.0044	78x33+1400+734	11	1594	78x33+1400+734	11	1594	78x33+1400+734	11	1594	78x33+1400+734	ok
book/Riesman - 1954 - Individualism reconsidered, and other essays.pdf	A	p2	3872	5184	107	2529134	2389079	0.9446	0.9446	0.9562	0.9448	85	48	12	8789	59	21939	0.0092	2	10438	0.0044	444x154+366+3459	2	10438	444x154+366+3459	2	10438	444x154+366+3459	2	10438	444x154+366+3459	ok
book/Ibson_2006_Picturing men.pdf	A	p61	2100	3000	162	2369312	2254516	0.9515	0.9515	0.9686	0.9631	393	18	4	1521	22	1411	0.0006	1	477	0.0002	74x29+1396+771	1	477	74x29+1396+771	1	477	74x29+1396+771	1	477	74x29+1396+771	ok
book/Ibson_2006_Picturing men.pdf	A	p122	1008	1440	172	361769	359906	0.9949	0.9949	0.9951	0.9947	68	9	2	4170	203	3836	0.0107	12	2032	0.0056	202x48+84+873	12	2032	202x48+84+873	12	2032	202x48+84+873	12	2032	202x48+84+873	ok
book/Ibson_2006_Picturing men.pdf	A	p162	1008	1440	160	603931	602580	0.9978	0.9978	0.9978	0.9978	54	9	2	707	17	321	0.0005	0	0	0.0000	-	0	0	-	0	0	-	0	0	-	ok
