document	page	drawsAny	dictWidth	dictDPI	dictRebuildDPI	drawnKind	drawnWidth	drawnDPI	drawnRebuildDPI	policyMoves	verdict	shippedRebuildDPI	formDepth	bareDepth	nestVerdict
Friedman_1962_Capitalism and freedom_University of Chicago Press	1	yes	504	96.0	300.0	largest	504	96.0	300.0	same	agree	300.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	2	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	3	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	4	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	5	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	6	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	7	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	8	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	9	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	10	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	11	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	12	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	13	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	14	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	15	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
Friedman_1962_Capitalism and freedom_University of Chicago Press	16	yes	1050	200.0	200.0	largest	1050	200.0	200.0	same	agree	200.0	1	0	withinCap
